RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138323490	 	3.0.3
USER	AggRestSimulation	1	START	1597138325057	1597138325057
USER	AggRestSimulation	2	START	1597138325093	1597138325093
USER	AggRestSimulation	3	START	1597138325114	1597138325114
USER	AggRestSimulation	4	START	1597138325134	1597138325134
USER	AggRestSimulation	5	START	1597138325155	1597138325155
USER	AggRestSimulation	6	START	1597138325172	1597138325172
USER	AggRestSimulation	7	START	1597138325192	1597138325192
USER	AggRestSimulation	8	START	1597138325212	1597138325212
USER	AggRestSimulation	9	START	1597138325233	1597138325233
USER	AggRestSimulation	10	START	1597138325253	1597138325253
USER	AggRestSimulation	11	START	1597138325274	1597138325274
USER	AggRestSimulation	12	START	1597138325297	1597138325297
USER	AggRestSimulation	13	START	1597138325312	1597138325312
REQUEST	9		login	1597138325235	1597138325318	OK	 
REQUEST	10		login	1597138325255	1597138325297	OK	 
REQUEST	8		login	1597138325214	1597138325252	OK	 
REQUEST	5		login	1597138325156	1597138325318	OK	 
USER	AggRestSimulation	14	START	1597138325333	1597138325333
REQUEST	1		login	1597138325095	1597138325320	OK	 
REQUEST	3		login	1597138325115	1597138325320	OK	 
REQUEST	7		login	1597138325193	1597138325317	OK	 
REQUEST	2		login	1597138325097	1597138325208	OK	 
REQUEST	4		login	1597138325136	1597138325210	OK	 
USER	AggRestSimulation	15	START	1597138325353	1597138325353
REQUEST	12		login	1597138325300	1597138325344	OK	 
REQUEST	6		login	1597138325174	1597138325215	OK	 
REQUEST	11		login	1597138325276	1597138325323	OK	 
REQUEST	13		login	1597138325315	1597138325358	OK	 
USER	AggRestSimulation	16	START	1597138325374	1597138325374
REQUEST	14		login	1597138325336	1597138325384	OK	 
USER	AggRestSimulation	17	START	1597138325394	1597138325394
REQUEST	15		login	1597138325355	1597138325397	OK	 
REQUEST	16		login	1597138325376	1597138325413	OK	 
USER	AggRestSimulation	18	START	1597138325415	1597138325415
USER	AggRestSimulation	19	START	1597138325435	1597138325435
REQUEST	17		login	1597138325395	1597138325444	OK	 
REQUEST	18		login	1597138325416	1597138325454	OK	 
USER	AggRestSimulation	20	START	1597138325456	1597138325456
USER	AggRestSimulation	21	START	1597138325477	1597138325477
REQUEST	19		login	1597138325438	1597138325482	OK	 
USER	AggRestSimulation	22	START	1597138325492	1597138325492
REQUEST	20		login	1597138325458	1597138325498	OK	 
USER	AggRestSimulation	23	START	1597138325513	1597138325513
REQUEST	21		login	1597138325480	1597138325526	OK	 
USER	AggRestSimulation	24	START	1597138325534	1597138325534
REQUEST	22		login	1597138325495	1597138325536	OK	 
USER	AggRestSimulation	25	START	1597138325555	1597138325555
REQUEST	23		login	1597138325517	1597138325565	OK	 
REQUEST	24		login	1597138325535	1597138325579	OK	 
USER	AggRestSimulation	26	START	1597138325587	1597138325587
USER	AggRestSimulation	27	START	1597138325592	1597138325592
REQUEST	25		login	1597138325557	1597138325599	OK	 
USER	AggRestSimulation	28	START	1597138325612	1597138325612
REQUEST	26		login	1597138325589	1597138325630	OK	 
USER	AggRestSimulation	29	START	1597138325633	1597138325633
REQUEST	27		login	1597138325593	1597138325633	OK	 
REQUEST	28		login	1597138325614	1597138325651	OK	 
USER	AggRestSimulation	30	START	1597138325654	1597138325654
USER	AggRestSimulation	31	START	1597138325675	1597138325675
REQUEST	29		login	1597138325635	1597138325682	OK	 
USER	AggRestSimulation	32	START	1597138325696	1597138325696
REQUEST	30		login	1597138325656	1597138325703	OK	 
USER	AggRestSimulation	33	START	1597138325717	1597138325717
REQUEST	31		login	1597138325678	1597138325723	OK	 
USER	AggRestSimulation	34	START	1597138325732	1597138325732
REQUEST	32		login	1597138325697	1597138325737	OK	 
USER	AggRestSimulation	35	START	1597138325752	1597138325752
REQUEST	33		login	1597138325718	1597138325767	OK	 
USER	AggRestSimulation	36	START	1597138325773	1597138325773
REQUEST	34		login	1597138325733	1597138325779	OK	 
USER	AggRestSimulation	37	START	1597138325793	1597138325793
USER	AggRestSimulation	38	START	1597138325814	1597138325814
REQUEST	35		login	1597138325753	1597138325817	OK	 
REQUEST	36		login	1597138325774	1597138325819	OK	 
USER	AggRestSimulation	39	START	1597138325835	1597138325835
REQUEST	37		login	1597138325794	1597138325851	OK	 
