RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138791708	 	3.0.3
USER	AggRestSimulation	1	START	1597138793241	1597138793241
USER	AggRestSimulation	2	START	1597138793277	1597138793277
USER	AggRestSimulation	3	START	1597138793297	1597138793297
USER	AggRestSimulation	4	START	1597138793317	1597138793317
USER	AggRestSimulation	5	START	1597138793338	1597138793338
USER	AggRestSimulation	6	START	1597138793353	1597138793353
USER	AggRestSimulation	7	START	1597138793373	1597138793373
USER	AggRestSimulation	8	START	1597138793394	1597138793394
USER	AggRestSimulation	9	START	1597138793414	1597138793414
USER	AggRestSimulation	10	START	1597138793435	1597138793435
USER	AggRestSimulation	11	START	1597138793457	1597138793457
USER	AggRestSimulation	12	START	1597138793478	1597138793478
USER	AggRestSimulation	13	START	1597138793498	1597138793498
USER	AggRestSimulation	14	START	1597138793513	1597138793513
REQUEST	1		login	1597138793284	1597138793388	OK	 
REQUEST	4		login	1597138793319	1597138793388	OK	 
REQUEST	10		login	1597138793437	1597138793477	OK	 
REQUEST	11		login	1597138793459	1597138793496	OK	 
USER	AggRestSimulation	15	START	1597138793540	1597138793540
REQUEST	8		login	1597138793396	1597138793440	OK	 
REQUEST	9		login	1597138793416	1597138793457	OK	 
REQUEST	12		login	1597138793479	1597138793523	OK	 
USER	AggRestSimulation	16	START	1597138793553	1597138793553
REQUEST	13		login	1597138793500	1597138793548	OK	 
REQUEST	5		login	1597138793339	1597138793388	OK	 
REQUEST	3		login	1597138793298	1597138793388	OK	 
USER	AggRestSimulation	17	START	1597138793578	1597138793578
REQUEST	2		login	1597138793286	1597138793388	OK	 
REQUEST	6		login	1597138793354	1597138793393	OK	 
REQUEST	7		login	1597138793375	1597138793413	OK	 
USER	AggRestSimulation	18	START	1597138793594	1597138793594
REQUEST	14		login	1597138793516	1597138793570	OK	 
REQUEST	15		login	1597138793551	1597138793601	OK	 
REQUEST	16		login	1597138793555	1597138793604	OK	 
USER	AggRestSimulation	19	START	1597138793628	1597138793628
REQUEST	17		login	1597138793581	1597138793624	OK	 
USER	AggRestSimulation	20	START	1597138793634	1597138793634
REQUEST	18		login	1597138793597	1597138793640	OK	 
USER	AggRestSimulation	21	START	1597138793655	1597138793655
REQUEST	19		login	1597138793631	1597138793673	OK	 
USER	AggRestSimulation	22	START	1597138793675	1597138793675
REQUEST	20		login	1597138793636	1597138793681	OK	 
USER	AggRestSimulation	23	START	1597138793696	1597138793696
REQUEST	21		login	1597138793657	1597138793704	OK	 
USER	AggRestSimulation	24	START	1597138793717	1597138793717
REQUEST	22		login	1597138793679	1597138793722	OK	 
USER	AggRestSimulation	25	START	1597138793737	1597138793737
REQUEST	23		login	1597138793698	1597138793747	OK	 
USER	AggRestSimulation	26	START	1597138793753	1597138793753
REQUEST	24		login	1597138793718	1597138793765	OK	 
USER	AggRestSimulation	27	START	1597138793773	1597138793773
REQUEST	25		login	1597138793740	1597138793783	OK	 
USER	AggRestSimulation	28	START	1597138793794	1597138793794
REQUEST	26		login	1597138793754	1597138793795	OK	 
USER	AggRestSimulation	29	START	1597138793815	1597138793815
REQUEST	27		login	1597138793776	1597138793819	OK	 
USER	AggRestSimulation	30	START	1597138793836	1597138793836
REQUEST	28		login	1597138793795	1597138793837	OK	 
REQUEST	14		requestAggregation	1597138793613	1597138793837	OK	 
USER	AggRestSimulation	31	START	1597138793857	1597138793857
REQUEST	29		login	1597138793816	1597138793861	OK	 
REQUEST	4		requestAggregation	1597138793545	1597138793862	OK	 
USER	AggRestSimulation	32	START	1597138793877	1597138793877
REQUEST	15		requestAggregation	1597138793613	1597138793878	OK	 
REQUEST	9		requestAggregation	1597138793551	1597138793878	OK	 
REQUEST	6		requestAggregation	1597138793593	1597138793890	OK	 
REQUEST	17		requestAggregation	1597138793630	1597138793890	OK	 
USER	AggRestSimulation	33	START	1597138793898	1597138793898
REQUEST	30		login	1597138793838	1597138793896	OK	 
REQUEST	31		login	1597138793859	1597138793903	OK	 
USER	AggRestSimulation	34	START	1597138793913	1597138793913
REQUEST	7		requestAggregation	1597138793592	1597138793911	OK	 
REQUEST	5		requestAggregation	1597138793564	1597138793916	OK	 
REQUEST	32		login	1597138793880	1597138793927	OK	 
REQUEST	2		requestAggregation	1597138793592	1597138793929	OK	 
REQUEST	13		requestAggregation	1597138793564	1597138793929	OK	 
REQUEST	8		requestAggregation	1597138793552	1597138793933	OK	 
REQUEST	11		requestAggregation	1597138793545	1597138793933	OK	 
USER	AggRestSimulation	35	START	1597138793944	1597138793944
REQUEST	33		login	1597138793899	1597138793943	OK	 
REQUEST	10		requestAggregation	1597138793544	1597138793943	OK	 
USER	AggRestSimulation	36	START	1597138793954	1597138793954
REQUEST	1		requestAggregation	1597138793550	1597138793954	OK	 
REQUEST	34		login	1597138793914	1597138793963	OK	 
USER	AggRestSimulation	37	START	1597138793974	1597138793974
REQUEST	22		requestAggregation	1597138793723	1597138793977	OK	 
REQUEST	35		login	1597138793946	1597138793993	OK	 
USER	AggRestSimulation	38	START	1597138793995	1597138793995
REQUEST	20		requestAggregation	1597138793683	1597138794000	OK	 
REQUEST	36		login	1597138793955	1597138794006	OK	 
USER	AggRestSimulation	39	START	1597138794016	1597138794016
REQUEST	25		requestAggregation	1597138793786	1597138794018	OK	 
REQUEST	37		login	1597138793977	1597138794025	OK	 
REQUEST	27		requestAggregation	1597138793821	1597138794032	OK	 
USER	AggRestSimulation	40	START	1597138794037	1597138794037
REQUEST	38		login	1597138793996	1597138794055	OK	 
USER	AggRestSimulation	41	START	1597138794058	1597138794058
REQUEST	39		login	1597138794017	1597138794066	OK	 
USER	AggRestSimulation	42	START	1597138794073	1597138794073
USER	AggRestSimulation	43	START	1597138794093	1597138794093
REQUEST	40		login	1597138794038	1597138794093	OK	 
REQUEST	12		requestAggregation	1597138793551	1597138794107	OK	 
REQUEST	21		requestAggregation	1597138793707	1597138794107	OK	 
REQUEST	41		login	1597138794059	1597138794109	OK	 
USER	AggRestSimulation	44	START	1597138794114	1597138794114
REQUEST	42		login	1597138794074	1597138794119	OK	 
USER	AggRestSimulation	45	START	1597138794135	1597138794135
REQUEST	3		requestAggregation	1597138793564	1597138794137	OK	 
REQUEST	43		login	1597138794096	1597138794139	OK	 
USER	AggRestSimulation	46	START	1597138794155	1597138794155
REQUEST	44		login	1597138794115	1597138794161	OK	 
REQUEST	30		requestAggregation	1597138793904	1597138794172	OK	 
REQUEST	32		requestAggregation	1597138793929	1597138794176	OK	 
REQUEST	18		requestAggregation	1597138793643	1597138794176	OK	 
USER	AggRestSimulation	47	START	1597138794187	1597138794187
REQUEST	35		requestAggregation	1597138793995	1597138794188	OK	 
REQUEST	45		login	1597138794136	1597138794186	OK	 
USER	AggRestSimulation	48	START	1597138794207	1597138794207
REQUEST	46		login	1597138794157	1597138794210	OK	 
REQUEST	26		requestAggregation	1597138793797	1597138794217	OK	 
USER	AggRestSimulation	49	START	1597138794223	1597138794223
REQUEST	23		requestAggregation	1597138793749	1597138794222	OK	 
REQUEST	47		login	1597138794188	1597138794236	OK	 
USER	AggRestSimulation	50	START	1597138794243	1597138794243
USER	AggRestSimulation	51	START	1597138794264	1597138794264
REQUEST	48		login	1597138794209	1597138794270	OK	 
USER	AggRestSimulation	52	START	1597138794284	1597138794284
REQUEST	49		login	1597138794224	1597138794288	OK	 
REQUEST	50		login	1597138794245	1597138794298	OK	 
USER	AggRestSimulation	53	START	1597138794305	1597138794305
REQUEST	51		login	1597138794265	1597138794316	OK	 
REQUEST	16		requestAggregation	1597138793613	1597138794316	OK	 
REQUEST	28		requestAggregation	1597138793839	1597138794319	OK	 
USER	AggRestSimulation	54	START	1597138794325	1597138794325
REQUEST	52		login	1597138794286	1597138794339	OK	 
REQUEST	37		requestAggregation	1597138794027	1597138794339	OK	 
USER	AggRestSimulation	55	START	1597138794346	1597138794346
REQUEST	53		login	1597138794306	1597138794355	OK	 
USER	AggRestSimulation	56	START	1597138794367	1597138794367
REQUEST	54		login	1597138794327	1597138794377	OK	 
REQUEST	42		requestAggregation	1597138794121	1597138794381	OK	 
REQUEST	40		requestAggregation	1597138794097	1597138794381	OK	 
USER	AggRestSimulation	57	START	1597138794388	1597138794388
REQUEST	55		login	1597138794347	1597138794390	OK	 
USER	AggRestSimulation	58	START	1597138794403	1597138794403
REQUEST	56		login	1597138794368	1597138794418	OK	 
USER	AggRestSimulation	59	START	1597138794424	1597138794424
REQUEST	57		login	1597138794389	1597138794438	OK	 
USER	AggRestSimulation	60	START	1597138794445	1597138794445
REQUEST	58		login	1597138794404	1597138794454	OK	 
REQUEST	31		requestAggregation	1597138793904	1597138794458	OK	 
USER	AggRestSimulation	61	START	1597138794465	1597138794465
REQUEST	33		requestAggregation	1597138793945	1597138794465	OK	 
REQUEST	19		requestAggregation	1597138793677	1597138794479	OK	 
REQUEST	45		requestAggregation	1597138794194	1597138794485	OK	 
USER	AggRestSimulation	62	START	1597138794486	1597138794486
REQUEST	59		login	1597138794425	1597138794494	OK	 
REQUEST	24		requestAggregation	1597138793768	1597138794501	OK	 
USER	AggRestSimulation	63	START	1597138794506	1597138794506
REQUEST	60		login	1597138794446	1597138794512	OK	 
REQUEST	61		login	1597138794466	1597138794513	OK	 
USER	AggRestSimulation	64	START	1597138794527	1597138794527
REQUEST	47		requestAggregation	1597138794237	1597138794531	OK	 
REQUEST	62		login	1597138794487	1597138794534	OK	 
REQUEST	50		requestAggregation	1597138794299	1597138794539	OK	 
REQUEST	29		requestAggregation	1597138793863	1597138794543	OK	 
USER	AggRestSimulation	65	START	1597138794547	1597138794547
REQUEST	63		login	1597138794507	1597138794553	OK	 
USER	AggRestSimulation	66	START	1597138794563	1597138794563
REQUEST	64		login	1597138794528	1597138794577	OK	 
USER	AggRestSimulation	67	START	1597138794583	1597138794583
REQUEST	65		login	1597138794548	1597138794593	OK	 
REQUEST	52		requestAggregation	1597138794340	1597138794602	OK	 
USER	AggRestSimulation	68	START	1597138794604	1597138794604
REQUEST	36		requestAggregation	1597138794008	1597138794605	OK	 
REQUEST	66		login	1597138794565	1597138794620	OK	 
USER	AggRestSimulation	69	START	1597138794624	1597138794624
REQUEST	67		login	1597138794584	1597138794627	OK	 
REQUEST	38		requestAggregation	1597138794056	1597138794641	OK	 
USER	AggRestSimulation	70	START	1597138794645	1597138794645
REQUEST	34		requestAggregation	1597138793965	1597138794646	OK	 
USER	AggRestSimulation	71	START	1597138794665	1597138794665
REQUEST	68		login	1597138794604	1597138794665	OK	 
REQUEST	69		login	1597138794625	1597138794680	OK	 
USER	AggRestSimulation	72	START	1597138794686	1597138794686
REQUEST	70		login	1597138794646	1597138794688	OK	 
REQUEST	55		requestAggregation	1597138794392	1597138794688	OK	 
USER	AggRestSimulation	73	START	1597138794707	1597138794707
REQUEST	71		login	1597138794666	1597138794710	OK	 
USER	AggRestSimulation	74	START	1597138794727	1597138794727
REQUEST	72		login	1597138794687	1597138794731	OK	 
REQUEST	57		requestAggregation	1597138794439	1597138794746	OK	 
USER	AggRestSimulation	75	START	1597138794747	1597138794747
REQUEST	39		requestAggregation	1597138794068	1597138794749	OK	 
REQUEST	73		login	1597138794707	1597138794751	OK	 
USER	AggRestSimulation	76	START	1597138794768	1597138794768
REQUEST	74		login	1597138794729	1597138794772	OK	 
USER	AggRestSimulation	77	START	1597138794783	1597138794783
REQUEST	75		login	1597138794748	1597138794791	OK	 
REQUEST	43		requestAggregation	1597138794140	1597138794801	OK	 
USER	AggRestSimulation	78	START	1597138794803	1597138794803
REQUEST	76		login	1597138794769	1597138794814	OK	 
REQUEST	41		requestAggregation	1597138794112	1597138794822	OK	 
REQUEST	44		requestAggregation	1597138794164	1597138794822	OK	 
USER	AggRestSimulation	79	START	1597138794824	1597138794824
REQUEST	77		login	1597138794784	1597138794827	OK	 
REQUEST	49		requestAggregation	1597138794289	1597138794832	OK	 
USER	AggRestSimulation	80	START	1597138794845	1597138794845
REQUEST	78		login	1597138794804	1597138794848	OK	 
USER	AggRestSimulation	81	START	1597138794865	1597138794865
REQUEST	62		requestAggregation	1597138794535	1597138794868	OK	 
REQUEST	79		login	1597138794825	1597138794868	OK	 
REQUEST	61		requestAggregation	1597138794514	1597138794868	OK	 
REQUEST	64		requestAggregation	1597138794580	1597138794879	OK	 
USER	AggRestSimulation	82	START	1597138794886	1597138794886
REQUEST	80		login	1597138794846	1597138794888	OK	 
REQUEST	66		requestAggregation	1597138794621	1597138794890	OK	 
USER	AggRestSimulation	83	START	1597138794907	1597138794907
REQUEST	81		login	1597138794866	1597138794907	OK	 
REQUEST	54		requestAggregation	1597138794380	1597138794909	OK	 
REQUEST	69		requestAggregation	1597138794681	1597138794911	OK	 
REQUEST	53		requestAggregation	1597138794356	1597138794925	OK	 
USER	AggRestSimulation	84	START	1597138794927	1597138794927
REQUEST	82		login	1597138794887	1597138794929	OK	 
REQUEST	48		requestAggregation	1597138794272	1597138794939	OK	 
REQUEST	59		requestAggregation	1597138794495	1597138794941	OK	 
USER	AggRestSimulation	85	START	1597138794948	1597138794948
REQUEST	83		login	1597138794908	1597138794948	OK	 
USER	AggRestSimulation	86	START	1597138794963	1597138794963
REQUEST	84		login	1597138794928	1597138794969	OK	 
REQUEST	68		requestAggregation	1597138794667	1597138794976	OK	 
USER	AggRestSimulation	87	START	1597138794983	1597138794983
REQUEST	85		login	1597138794949	1597138794989	OK	 
REQUEST	46		requestAggregation	1597138794212	1597138794994	OK	 
REQUEST	71		requestAggregation	1597138794712	1597138795001	OK	 
USER	AggRestSimulation	88	START	1597138795004	1597138795004
REQUEST	86		login	1597138794964	1597138795011	OK	 
USER	AggRestSimulation	89	START	1597138795024	1597138795024
REQUEST	87		login	1597138794984	1597138795024	OK	 
REQUEST	74		requestAggregation	1597138794774	1597138795034	OK	 
USER	AggRestSimulation	90	START	1597138795045	1597138795045
REQUEST	88		login	1597138795004	1597138795046	OK	 
REQUEST	76		requestAggregation	1597138794816	1597138795057	OK	 
USER	AggRestSimulation	91	START	1597138795066	1597138795066
REQUEST	89		login	1597138795025	1597138795065	OK	 
REQUEST	58		requestAggregation	1597138794456	1597138795070	OK	 
USER	AggRestSimulation	92	START	1597138795086	1597138795086
REQUEST	90		login	1597138795046	1597138795088	OK	 
REQUEST	79		requestAggregation	1597138794870	1597138795089	OK	 
USER	AggRestSimulation	93	START	1597138795107	1597138795107
REQUEST	91		login	1597138795067	1597138795107	OK	 
USER	AggRestSimulation	94	START	1597138795128	1597138795128
REQUEST	73		requestAggregation	1597138794760	1597138795129	OK	 
REQUEST	51		requestAggregation	1597138794318	1597138795137	OK	 
REQUEST	63		requestAggregation	1597138794555	1597138795139	OK	 
USER	AggRestSimulation	95	START	1597138795143	1597138795143
REQUEST	81		requestAggregation	1597138794909	1597138795141	OK	 
REQUEST	92		login	1597138795087	1597138795147	OK	 
REQUEST	93		login	1597138795108	1597138795147	OK	 
REQUEST	78		requestAggregation	1597138794849	1597138795150	OK	 
REQUEST	56		requestAggregation	1597138794420	1597138795150	OK	 
USER	AggRestSimulation	96	START	1597138795163	1597138795163
REQUEST	67		requestAggregation	1597138794628	1597138795158	OK	 
REQUEST	60		requestAggregation	1597138794514	1597138795164	OK	 
REQUEST	94		login	1597138795129	1597138795170	OK	 
REQUEST	84		requestAggregation	1597138794970	1597138795174	OK	 
USER	AggRestSimulation	97	START	1597138795183	1597138795183
REQUEST	77		requestAggregation	1597138794830	1597138795181	OK	 
REQUEST	95		login	1597138795145	1597138795185	OK	 
USER	AggRestSimulation	98	START	1597138795204	1597138795204
REQUEST	96		login	1597138795165	1597138795204	OK	 
REQUEST	72		requestAggregation	1597138794732	1597138795200	OK	 
REQUEST	86		requestAggregation	1597138795013	1597138795209	OK	 
REQUEST	75		requestAggregation	1597138794794	1597138795219	OK	 
USER	AggRestSimulation	99	START	1597138795225	1597138795225
REQUEST	97		login	1597138795184	1597138795222	OK	 
REQUEST	65		requestAggregation	1597138794596	1597138795229	OK	 
USER	AggRestSimulation	100	START	1597138795245	1597138795245
REQUEST	83		requestAggregation	1597138794949	1597138795245	OK	 
REQUEST	98		login	1597138795205	1597138795245	OK	 
USER	AggRestSimulation	101	START	1597138795266	1597138795266
USER	AggRestSimulation	102	START	1597138795266	1597138795266
REQUEST	99		login	1597138795226	1597138795266	OK	 
REQUEST	80		requestAggregation	1597138794890	1597138795279	OK	 
REQUEST	100		login	1597138795246	1597138795285	OK	 
USER	AggRestSimulation	103	START	1597138795286	1597138795286
REQUEST	102		login	1597138795267	1597138795303	OK	 
REQUEST	101		login	1597138795267	1597138795305	OK	 
USER	AggRestSimulation	104	START	1597138795306	1597138795306
REQUEST	70		requestAggregation	1597138794689	1597138795315	OK	 
REQUEST	103		login	1597138795287	1597138795326	OK	 
USER	AggRestSimulation	105	START	1597138795327	1597138795327
REQUEST	104		login	1597138795307	1597138795346	OK	 
REQUEST	82		requestAggregation	1597138794930	1597138795346	OK	 
USER	AggRestSimulation	106	START	1597138795348	1597138795348
USER	AggRestSimulation	107	START	1597138795363	1597138795363
REQUEST	105		login	1597138795328	1597138795365	OK	 
REQUEST	89		requestAggregation	1597138795067	1597138795371	OK	 
USER	AggRestSimulation	108	START	1597138795383	1597138795383
REQUEST	106		login	1597138795349	1597138795387	OK	 
REQUEST	87		requestAggregation	1597138795026	1597138795387	OK	 
REQUEST	88		requestAggregation	1597138795047	1597138795392	OK	 
REQUEST	107		login	1597138795364	1597138795402	OK	 
USER	AggRestSimulation	109	START	1597138795404	1597138795404
REQUEST	85		requestAggregation	1597138794990	1597138795404	OK	 
REQUEST	91		requestAggregation	1597138795108	1597138795404	OK	 
REQUEST	108		login	1597138795384	1597138795424	OK	 
USER	AggRestSimulation	110	START	1597138795424	1597138795424
USER	AggRestSimulation	111	START	1597138795445	1597138795445
REQUEST	109		login	1597138795405	1597138795446	OK	 
REQUEST	90		requestAggregation	1597138795089	1597138795446	OK	 
REQUEST	110		login	1597138795425	1597138795458	OK	 
USER	AggRestSimulation	112	START	1597138795466	1597138795466
REQUEST	92		requestAggregation	1597138795151	1597138795477	OK	 
REQUEST	93		requestAggregation	1597138795151	1597138795481	OK	 
USER	AggRestSimulation	113	START	1597138795487	1597138795487
REQUEST	111		login	1597138795448	1597138795490	OK	 
REQUEST	94		requestAggregation	1597138795178	1597138795499	OK	 
REQUEST	112		login	1597138795467	1597138795503	OK	 
USER	AggRestSimulation	114	START	1597138795508	1597138795508
USER	AggRestSimulation	115	START	1597138795523	1597138795523
REQUEST	113		login	1597138795488	1597138795527	OK	 
USER	AggRestSimulation	116	START	1597138795543	1597138795543
REQUEST	114		login	1597138795509	1597138795546	OK	 
REQUEST	115		login	1597138795524	1597138795559	OK	 
USER	AggRestSimulation	117	START	1597138795564	1597138795564
REQUEST	116		login	1597138795545	1597138795580	OK	 
USER	AggRestSimulation	118	START	1597138795584	1597138795584
REQUEST	95		requestAggregation	1597138795194	1597138795599	OK	 
USER	AggRestSimulation	119	START	1597138795605	1597138795605
REQUEST	117		login	1597138795565	1597138795607	OK	 
REQUEST	118		login	1597138795585	1597138795617	OK	 
USER	AggRestSimulation	120	START	1597138795625	1597138795625
REQUEST	119		login	1597138795606	1597138795639	OK	 
USER	AggRestSimulation	121	START	1597138795646	1597138795646
REQUEST	96		requestAggregation	1597138795210	1597138795657	OK	 
REQUEST	120		login	1597138795627	1597138795662	OK	 
USER	AggRestSimulation	122	START	1597138795667	1597138795667
REQUEST	121		login	1597138795647	1597138795683	OK	 
USER	AggRestSimulation	123	START	1597138795687	1597138795687
