RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
USER	AggRestSimulation	1	START	1597139291231	1597139291231
USER	AggRestSimulation	2	START	1597139291264	1597139291264
USER	AggRestSimulation	3	START	1597139291284	1597139291284
USER	AggRestSimulation	4	START	1597139291305	1597139291305
USER	AggRestSimulation	5	START	1597139291320	1597139291320
USER	AggRestSimulation	6	START	1597139291340	1597139291340
USER	AggRestSimulation	7	START	1597139291361	1597139291361
USER	AggRestSimulation	8	START	1597139291382	1597139291382
USER	AggRestSimulation	9	START	1597139291404	1597139291404
USER	AggRestSimulation	10	START	1597139291425	1597139291425
USER	AggRestSimulation	11	START	1597139291440	1597139291440
USER	AggRestSimulation	12	START	1597139291461	1597139291461
USER	AggRestSimulation	13	START	1597139291486	1597139291486
USER	AggRestSimulation	14	START	1597139291502	1597139291502
USER	AggRestSimulation	15	START	1597139291523	1597139291523
REQUEST	11		login	1597139291442	1597139291493	OK	 
REQUEST	10		login	1597139291427	1597139291468	OK	 
REQUEST	5		login	1597139291322	1597139291374	OK	 
REQUEST	8		login	1597139291385	1597139291424	OK	 
REQUEST	12		login	1597139291463	1597139291521	OK	 
REQUEST	9		login	1597139291411	1597139291450	OK	 
USER	AggRestSimulation	16	START	1597139291552	1597139291552
USER	AggRestSimulation	17	START	1597139291563	1597139291563
REQUEST	6		login	1597139291342	1597139291379	OK	 
REQUEST	3		login	1597139291287	1597139291374	OK	 
REQUEST	1		login	1597139291276	1597139291374	OK	 
REQUEST	4		login	1597139291308	1597139291374	OK	 
REQUEST	7		login	1597139291363	1597139291404	OK	 
REQUEST	2		login	1597139291279	1597139291374	OK	 
USER	AggRestSimulation	18	START	1597139291587	1597139291587
USER	AggRestSimulation	19	START	1597139291601	1597139291601
REQUEST	14		login	1597139291505	1597139291550	OK	 
REQUEST	13		login	1597139291494	1597139291546	OK	 
REQUEST	15		login	1597139291526	1597139291582	OK	 
REQUEST	16		login	1597139291557	1597139291598	OK	 
USER	AggRestSimulation	20	START	1597139291621	1597139291621
REQUEST	17		login	1597139291565	1597139291623	OK	 
REQUEST	18		login	1597139291589	1597139291633	OK	 
USER	AggRestSimulation	21	START	1597139291642	1597139291642
REQUEST	19		login	1597139291603	1597139291646	OK	 
USER	AggRestSimulation	22	START	1597139291663	1597139291663
REQUEST	20		login	1597139291623	1597139291663	OK	 
USER	AggRestSimulation	23	START	1597139291683	1597139291683
REQUEST	21		login	1597139291643	1597139291686	OK	 
USER	AggRestSimulation	24	START	1597139291704	1597139291704
REQUEST	22		login	1597139291665	1597139291708	OK	 
USER	AggRestSimulation	25	START	1597139291725	1597139291725
REQUEST	23		login	1597139291686	1597139291734	OK	 
USER	AggRestSimulation	26	START	1597139291740	1597139291740
REQUEST	24		login	1597139291706	1597139291752	OK	 
USER	AggRestSimulation	27	START	1597139291761	1597139291761
REQUEST	25		login	1597139291726	1597139291771	OK	 
USER	AggRestSimulation	28	START	1597139291781	1597139291781
REQUEST	26		login	1597139291741	1597139291786	OK	 
USER	AggRestSimulation	29	START	1597139291802	1597139291802
REQUEST	27		login	1597139291763	1597139291809	OK	 
USER	AggRestSimulation	30	START	1597139291823	1597139291823
REQUEST	28		login	1597139291782	1597139291828	OK	 
REQUEST	1		requestAggregation	1597139291579	1597139291832	OK	 
REQUEST	8		requestAggregation	1597139291540	1597139291834	OK	 
USER	AggRestSimulation	31	START	1597139291844	1597139291844
REQUEST	29		login	1597139291804	1597139291850	OK	 
USER	AggRestSimulation	32	START	1597139291864	1597139291864
REQUEST	30		login	1597139291825	1597139291868	OK	 
REQUEST	10		requestAggregation	1597139291535	1597139291868	OK	 
REQUEST	6		requestAggregation	1597139291578	1597139291870	OK	 
REQUEST	13		requestAggregation	1597139291605	1597139291883	OK	 
REQUEST	31		login	1597139291846	1597139291889	OK	 
USER	AggRestSimulation	33	START	1597139291895	1597139291895
REQUEST	7		requestAggregation	1597139291587	1597139291889	OK	 
REQUEST	12		requestAggregation	1597139291540	1597139291892	OK	 
REQUEST	19		requestAggregation	1597139291647	1597139291892	OK	 
USER	AggRestSimulation	34	START	1597139291910	1597139291910
REQUEST	32		login	1597139291866	1597139291912	OK	 
REQUEST	17		requestAggregation	1597139291626	1597139291913	OK	 
REQUEST	9		requestAggregation	1597139291541	1597139291917	OK	 
REQUEST	11		requestAggregation	1597139291534	1597139291926	OK	 
REQUEST	4		requestAggregation	1597139291585	1597139291930	OK	 
USER	AggRestSimulation	35	START	1597139291931	1597139291931
REQUEST	33		login	1597139291897	1597139291947	OK	 
USER	AggRestSimulation	36	START	1597139291952	1597139291952
REQUEST	16		requestAggregation	1597139291609	1597139291953	OK	 
REQUEST	34		login	1597139291912	1597139291956	OK	 
REQUEST	15		requestAggregation	1597139291605	1597139291958	OK	 
REQUEST	5		requestAggregation	1597139291536	1597139291961	OK	 
REQUEST	24		requestAggregation	1597139291754	1597139291965	OK	 
REQUEST	21		requestAggregation	1597139291688	1597139291966	OK	 
USER	AggRestSimulation	37	START	1597139291972	1597139291972
REQUEST	3		requestAggregation	1597139291578	1597139291970	OK	 
REQUEST	35		login	1597139291932	1597139291977	OK	 
USER	AggRestSimulation	38	START	1597139291993	1597139291993
REQUEST	22		requestAggregation	1597139291710	1597139291996	OK	 
REQUEST	18		requestAggregation	1597139291638	1597139291996	OK	 
REQUEST	36		login	1597139291953	1597139291999	OK	 
USER	AggRestSimulation	39	START	1597139292013	1597139292013
REQUEST	37		login	1597139291973	1597139292019	OK	 
REQUEST	27		requestAggregation	1597139291811	1597139292032	OK	 
REQUEST	29		requestAggregation	1597139291856	1597139292032	OK	 
USER	AggRestSimulation	40	START	1597139292034	1597139292034
REQUEST	38		login	1597139291994	1597139292039	OK	 
REQUEST	26		requestAggregation	1597139291788	1597139292048	OK	 
USER	AggRestSimulation	41	START	1597139292054	1597139292054
REQUEST	2		requestAggregation	1597139291584	1597139292055	OK	 
REQUEST	23		requestAggregation	1597139291736	1597139292055	OK	 
REQUEST	39		login	1597139292014	1597139292064	OK	 
REQUEST	14		requestAggregation	1597139291605	1597139292070	OK	 
USER	AggRestSimulation	42	START	1597139292075	1597139292075
REQUEST	40		login	1597139292037	1597139292079	OK	 
USER	AggRestSimulation	43	START	1597139292090	1597139292090
REQUEST	41		login	1597139292056	1597139292104	OK	 
REQUEST	32		requestAggregation	1597139291914	1597139292107	OK	 
USER	AggRestSimulation	44	START	1597139292111	1597139292111
REQUEST	42		login	1597139292076	1597139292117	OK	 
REQUEST	28		requestAggregation	1597139291830	1597139292125	OK	 
USER	AggRestSimulation	45	START	1597139292135	1597139292135
REQUEST	31		requestAggregation	1597139291891	1597139292131	OK	 
REQUEST	20		requestAggregation	1597139291666	1597139292137	OK	 
REQUEST	43		login	1597139292091	1597139292137	OK	 
REQUEST	25		requestAggregation	1597139291772	1597139292143	OK	 
USER	AggRestSimulation	46	START	1597139292156	1597139292156
REQUEST	34		requestAggregation	1597139291957	1597139292146	OK	 
REQUEST	44		login	1597139292112	1597139292156	OK	 
USER	AggRestSimulation	47	START	1597139292170	1597139292170
REQUEST	37		requestAggregation	1597139292021	1597139292183	OK	 
REQUEST	45		login	1597139292137	1597139292182	OK	 
USER	AggRestSimulation	48	START	1597139292191	1597139292191
REQUEST	33		requestAggregation	1597139291949	1597139292197	OK	 
REQUEST	46		login	1597139292157	1597139292201	OK	 
USER	AggRestSimulation	49	START	1597139292211	1597139292211
REQUEST	47		login	1597139292172	1597139292214	OK	 
REQUEST	48		login	1597139292192	1597139292230	OK	 
USER	AggRestSimulation	50	START	1597139292232	1597139292232
REQUEST	39		requestAggregation	1597139292069	1597139292242	OK	 
USER	AggRestSimulation	51	START	1597139292252	1597139292252
REQUEST	49		login	1597139292212	1597139292258	OK	 
REQUEST	36		requestAggregation	1597139292000	1597139292258	OK	 
REQUEST	30		requestAggregation	1597139291871	1597139292272	OK	 
USER	AggRestSimulation	52	START	1597139292273	1597139292273
REQUEST	50		login	1597139292233	1597139292276	OK	 
REQUEST	38		requestAggregation	1597139292040	1597139292283	OK	 
USER	AggRestSimulation	53	START	1597139292294	1597139292294
REQUEST	51		login	1597139292254	1597139292297	OK	 
REQUEST	35		requestAggregation	1597139291978	1597139292299	OK	 
REQUEST	42		requestAggregation	1597139292126	1597139292306	OK	 
USER	AggRestSimulation	54	START	1597139292314	1597139292314
REQUEST	44		requestAggregation	1597139292159	1597139292319	OK	 
REQUEST	52		login	1597139292274	1597139292321	OK	 
REQUEST	41		requestAggregation	1597139292105	1597139292332	OK	 
USER	AggRestSimulation	55	START	1597139292335	1597139292335
REQUEST	53		login	1597139292295	1597139292338	OK	 
USER	AggRestSimulation	56	START	1597139292355	1597139292355
REQUEST	54		login	1597139292315	1597139292359	OK	 
REQUEST	40		requestAggregation	1597139292081	1597139292368	OK	 
USER	AggRestSimulation	57	START	1597139292370	1597139292370
REQUEST	55		login	1597139292337	1597139292380	OK	 
REQUEST	47		requestAggregation	1597139292216	1597139292385	OK	 
REQUEST	43		requestAggregation	1597139292142	1597139292393	OK	 
REQUEST	56		login	1597139292356	1597139292398	OK	 
USER	AggRestSimulation	58	START	1597139292403	1597139292403
REQUEST	49		requestAggregation	1597139292260	1597139292407	OK	 
REQUEST	57		login	1597139292371	1597139292410	OK	 
USER	AggRestSimulation	59	START	1597139292413	1597139292413
REQUEST	45		requestAggregation	1597139292184	1597139292414	OK	 
REQUEST	46		requestAggregation	1597139292203	1597139292424	OK	 
USER	AggRestSimulation	60	START	1597139292434	1597139292434
REQUEST	58		login	1597139292404	1597139292445	OK	 
USER	AggRestSimulation	61	START	1597139292454	1597139292454
REQUEST	59		login	1597139292414	1597139292458	OK	 
REQUEST	48		requestAggregation	1597139292231	1597139292458	OK	 
