RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597308991735	 	3.3.1
USER	AggRestSimulationLogin	1	START	1597308993360	1597308993360
REQUEST	1		login	1597308993395	1597308993519	OK	 
USER	AggRestSimulationLogin	1	END	1597308993360	1597308993620
USER	AggRestSimulationAllProducts	2	START	1597309003361	1597309003361
USER	AggRestSimulationAllProducts	3	START	1597309003433	1597309003433
USER	AggRestSimulationAllProducts	4	START	1597309003500	1597309003500
USER	AggRestSimulationAllProducts	5	START	1597309003561	1597309003561
USER	AggRestSimulationAllProducts	6	START	1597309003634	1597309003634
REQUEST	2		requestAggregation_all_products	1597309003371	1597309003650	OK	 
USER	AggRestSimulationAllProducts	7	START	1597309003700	1597309003700
USER	AggRestSimulationAllProducts	8	START	1597309003762	1597309003762
REQUEST	3		requestAggregation_all_products	1597309003434	1597309003761	OK	 
USER	AggRestSimulationAllProducts	9	START	1597309003829	1597309003829
REQUEST	6		requestAggregation_all_products	1597309003636	1597309003853	OK	 
USER	AggRestSimulationAllProducts	10	START	1597309003901	1597309003901
REQUEST	5		requestAggregation_all_products	1597309003562	1597309003905	OK	 
REQUEST	4		requestAggregation_all_products	1597309003502	1597309003909	OK	 
USER	AggRestSimulationAllProducts	11	START	1597309003963	1597309003963
REQUEST	7		requestAggregation_all_products	1597309003704	1597309004010	OK	 
USER	AggRestSimulationAllProducts	12	START	1597309004029	1597309004029
REQUEST	8		requestAggregation_all_products	1597309003764	1597309004086	OK	 
USER	AggRestSimulationAllProducts	13	START	1597309004102	1597309004102
REQUEST	9		requestAggregation_all_products	1597309003830	1597309004114	OK	 
USER	AggRestSimulationAllProducts	14	START	1597309004163	1597309004163
REQUEST	11		requestAggregation_all_products	1597309003964	1597309004188	OK	 
REQUEST	10		requestAggregation_all_products	1597309003904	1597309004214	OK	 
USER	AggRestSimulationAllProducts	15	START	1597309004229	1597309004229
REQUEST	12		requestAggregation_all_products	1597309004032	1597309004282	OK	 
USER	AggRestSimulationAllProducts	16	START	1597309004301	1597309004301
REQUEST	13		requestAggregation_all_products	1597309004103	1597309004310	OK	 
USER	AggRestSimulationAllProducts	17	START	1597309004363	1597309004363
REQUEST	14		requestAggregation_all_products	1597309004166	1597309004410	OK	 
USER	AggRestSimulationAllProducts	18	START	1597309004430	1597309004430
