RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597662224025	 	3.3.1
USER	AggRestSimulationLogin	1	START	1597662225534	1597662225534
REQUEST	1		login	1597662225589	1597662225673	OK	 
USER	AggRestSimulationLogin	1	END	1597662225534	1597662225764
USER	AggRestSimulationFintonicProducts	2	START	1597662235538	1597662235538
USER	AggRestSimulationFintonicProducts	3	START	1597662235563	1597662235563
USER	AggRestSimulationFintonicProducts	4	START	1597662235615	1597662235615
USER	AggRestSimulationFintonicProducts	5	START	1597662235656	1597662235656
USER	AggRestSimulationFintonicProducts	6	START	1597662235698	1597662235698
USER	AggRestSimulationFintonicProducts	7	START	1597662235733	1597662235733
USER	AggRestSimulationFintonicProducts	8	START	1597662235774	1597662235774
REQUEST	2		requestAggregation_fintonic_products	1597662235561	1597662235773	OK	 
REQUEST	3		requestAggregation_fintonic_products	1597662235572	1597662235810	OK	 
USER	AggRestSimulationFintonicProducts	9	START	1597662235815	1597662235815
REQUEST	4		requestAggregation_fintonic_products	1597662235616	1597662235817	OK	 
USER	AggRestSimulationFintonicProducts	10	START	1597662235856	1597662235856
USER	AggRestSimulationFintonicProducts	11	START	1597662235898	1597662235898
REQUEST	5		requestAggregation_fintonic_products	1597662235661	1597662235897	OK	 
REQUEST	6		requestAggregation_fintonic_products	1597662235700	1597662235897	OK	 
USER	AggRestSimulationFintonicProducts	12	START	1597662235934	1597662235934
REQUEST	7		requestAggregation_fintonic_products	1597662235735	1597662235943	OK	 
USER	AggRestSimulationFintonicProducts	13	START	1597662235977	1597662235977
REQUEST	8		requestAggregation_fintonic_products	1597662235775	1597662235996	OK	 
USER	AggRestSimulationFintonicProducts	14	START	1597662236018	1597662236018
REQUEST	9		requestAggregation_fintonic_products	1597662235817	1597662236033	OK	 
USER	AggRestSimulationFintonicProducts	15	START	1597662236053	1597662236053
USER	AggRestSimulationFintonicProducts	16	START	1597662236095	1597662236095
REQUEST	12		requestAggregation_fintonic_products	1597662235935	1597662236106	OK	 
REQUEST	10		requestAggregation_fintonic_products	1597662235858	1597662236106	OK	 
REQUEST	11		requestAggregation_fintonic_products	1597662235899	1597662236106	OK	 
USER	AggRestSimulationFintonicProducts	17	START	1597662236136	1597662236136
USER	AggRestSimulationFintonicProducts	18	START	1597662236178	1597662236178
REQUEST	14		requestAggregation_fintonic_products	1597662236019	1597662236195	OK	 
REQUEST	13		requestAggregation_fintonic_products	1597662235978	1597662236195	OK	 
USER	AggRestSimulationFintonicProducts	19	START	1597662236213	1597662236213
USER	AggRestSimulationFintonicProducts	20	START	1597662236255	1597662236255
REQUEST	15		requestAggregation_fintonic_products	1597662236055	1597662236273	OK	 
USER	AggRestSimulationFintonicProducts	21	START	1597662236296	1597662236296
REQUEST	17		requestAggregation_fintonic_products	1597662236140	1597662236307	OK	 
REQUEST	16		requestAggregation_fintonic_products	1597662236096	1597662236307	OK	 
USER	AggRestSimulationFintonicProducts	22	START	1597662236337	1597662236337
USER	AggRestSimulationFintonicProducts	23	START	1597662236383	1597662236383
REQUEST	19		requestAggregation_fintonic_products	1597662236215	1597662236417	OK	 
REQUEST	18		requestAggregation_fintonic_products	1597662236183	1597662236417	OK	 
REQUEST	20		requestAggregation_fintonic_products	1597662236256	1597662236429	OK	 
USER	AggRestSimulationFintonicProducts	24	START	1597662236435	1597662236435
REQUEST	21		requestAggregation_fintonic_products	1597662236297	1597662236471	OK	 
USER	AggRestSimulationFintonicProducts	25	START	1597662236476	1597662236476
USER	AggRestSimulationFintonicProducts	26	START	1597662236517	1597662236517
USER	AggRestSimulationFintonicProducts	27	START	1597662236558	1597662236558
USER	AggRestSimulationFintonicProducts	28	START	1597662236574	1597662236574
USER	AggRestSimulationFintonicProducts	29	START	1597662236614	1597662236614
REQUEST	22		requestAggregation_fintonic_products	1597662236338	1597662236614	OK	 
REQUEST	23		requestAggregation_fintonic_products	1597662236385	1597662236651	OK	 
REQUEST	24		requestAggregation_fintonic_products	1597662236436	1597662236654	OK	 
USER	AggRestSimulationFintonicProducts	30	START	1597662236655	1597662236655
REQUEST	26		requestAggregation_fintonic_products	1597662236518	1597662236686	OK	 
USER	AggRestSimulationFintonicProducts	31	START	1597662236696	1597662236696
REQUEST	25		requestAggregation_fintonic_products	1597662236477	1597662236719	OK	 
USER	AggRestSimulationFintonicProducts	32	START	1597662236738	1597662236738
REQUEST	27		requestAggregation_fintonic_products	1597662236560	1597662236768	OK	 
USER	AggRestSimulationFintonicProducts	33	START	1597662236773	1597662236773
