RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598540231290	 	3.3.1
USER	AggRestSimulationSomeProducts	2	START	1598540232809	1598540232809
USER	AggRestSimulationLogin	1	START	1598540232807	1598540232807
USER	AggRestSimulationSomeProducts	3	START	1598540232841	1598540232841
USER	AggRestSimulationSomeProducts	4	START	1598540232861	1598540232861
USER	AggRestSimulationSomeProducts	5	START	1598540232881	1598540232881
USER	AggRestSimulationSomeProducts	6	START	1598540232896	1598540232896
USER	AggRestSimulationSomeProducts	7	START	1598540232917	1598540232917
USER	AggRestSimulationSomeProducts	8	START	1598540232937	1598540232937
USER	AggRestSimulationSomeProducts	9	START	1598540232958	1598540232958
USER	AggRestSimulationSomeProducts	10	START	1598540232979	1598540232979
REQUEST	7		requestAggregation_some_products	1598540232919	1598540232949	KO	status.find.in(200,202), but actually found 401
REQUEST	2		requestAggregation_some_products	1598540232847	1598540232901	KO	status.find.in(200,202), but actually found 401
REQUEST	5		requestAggregation_some_products	1598540232883	1598540232914	KO	status.find.in(200,202), but actually found 401
REQUEST	6		requestAggregation_some_products	1598540232898	1598540232930	KO	status.find.in(200,202), but actually found 401
REQUEST	9		requestAggregation_some_products	1598540232959	1598540232987	KO	status.find.in(200,202), but actually found 401
REQUEST	8		requestAggregation_some_products	1598540232940	1598540232970	KO	status.find.in(200,202), but actually found 401
REQUEST	4		requestAggregation_some_products	1598540232862	1598540232901	KO	status.find.in(200,202), but actually found 401
REQUEST	1		login	1598540232847	1598540232923	OK	 
REQUEST	3		requestAggregation_some_products	1598540232849	1598540232901	KO	status.find.in(200,202), but actually found 401
USER	AggRestSimulationSomeProducts	11	START	1598540233003	1598540233003
USER	AggRestSimulationSomeProducts	9	END	1598540232958	1598540233006
USER	AggRestSimulationSomeProducts	8	END	1598540232937	1598540233008
USER	AggRestSimulationSomeProducts	7	END	1598540232917	1598540233008
USER	AggRestSimulationSomeProducts	6	END	1598540232896	1598540233008
USER	AggRestSimulationSomeProducts	5	END	1598540232881	1598540233008
USER	AggRestSimulationSomeProducts	4	END	1598540232861	1598540233008
USER	AggRestSimulationSomeProducts	2	END	1598540232809	1598540233008
USER	AggRestSimulationLogin	1	END	1598540232807	1598540233008
USER	AggRestSimulationSomeProducts	3	END	1598540232841	1598540233008
REQUEST	10		requestAggregation_some_products	1598540232982	1598540233011	KO	status.find.in(200,202), but actually found 401
USER	AggRestSimulationSomeProducts	10	END	1598540232979	1598540233014
USER	AggRestSimulationSomeProducts	12	START	1598540233016	1598540233016
USER	AggRestSimulationSomeProducts	13	START	1598540233037	1598540233037
USER	AggRestSimulationSomeProducts	14	START	1598540233057	1598540233057
USER	AggRestSimulationSomeProducts	15	START	1598540233077	1598540233077
USER	AggRestSimulationSomeProducts	16	START	1598540233098	1598540233098
USER	AggRestSimulationSomeProducts	17	START	1598540233119	1598540233119
USER	AggRestSimulationSomeProducts	18	START	1598540233140	1598540233140
USER	AggRestSimulationSomeProducts	19	START	1598540233160	1598540233160
REQUEST	11		requestAggregation_some_products	1598540233006	1598540233163	OK	 
REQUEST	12		requestAggregation_some_products	1598540233018	1598540233176	OK	 
USER	AggRestSimulationSomeProducts	20	START	1598540233181	1598540233181
USER	AggRestSimulationSomeProducts	21	START	1598540233201	1598540233201
REQUEST	13		requestAggregation_some_products	1598540233038	1598540233203	OK	 
REQUEST	14		requestAggregation_some_products	1598540233058	1598540233211	OK	 
USER	AggRestSimulationSomeProducts	22	START	1598540233221	1598540233221
REQUEST	15		requestAggregation_some_products	1598540233079	1598540233234	OK	 
USER	AggRestSimulationSomeProducts	23	START	1598540233236	1598540233236
USER	AggRestSimulationSomeProducts	24	START	1598540233257	1598540233257
USER	AggRestSimulationSomeProducts	25	START	1598540233277	1598540233277
USER	AggRestSimulationSomeProducts	26	START	1598540233298	1598540233298
REQUEST	16		requestAggregation_some_products	1598540233100	1598540233299	OK	 
USER	AggRestSimulationSomeProducts	27	START	1598540233319	1598540233319
USER	AggRestSimulationSomeProducts	28	START	1598540233339	1598540233339
REQUEST	17		requestAggregation_some_products	1598540233121	1598540233353	OK	 
USER	AggRestSimulationSomeProducts	29	START	1598540233359	1598540233359
REQUEST	19		requestAggregation_some_products	1598540233162	1598540233372	OK	 
USER	AggRestSimulationSomeProducts	30	START	1598540233380	1598540233380
REQUEST	21		requestAggregation_some_products	1598540233203	1598540233389	OK	 
REQUEST	18		requestAggregation_some_products	1598540233142	1598540233398	OK	 
USER	AggRestSimulationSomeProducts	31	START	1598540233400	1598540233400
USER	AggRestSimulationSomeProducts	32	START	1598540233421	1598540233421
USER	AggRestSimulationSomeProducts	33	START	1598540233436	1598540233436
REQUEST	20		requestAggregation_some_products	1598540233183	1598540233441	OK	 
USER	AggRestSimulationSomeProducts	34	START	1598540233456	1598540233456
REQUEST	23		requestAggregation_some_products	1598540233238	1598540233469	OK	 
USER	AggRestSimulationSomeProducts	35	START	1598540233477	1598540233477
REQUEST	22		requestAggregation_some_products	1598540233224	1598540233479	OK	 
USER	AggRestSimulationSomeProducts	36	START	1598540233498	1598540233498
REQUEST	25		requestAggregation_some_products	1598540233280	1598540233500	OK	 
USER	AggRestSimulationSomeProducts	37	START	1598540233518	1598540233518
USER	AggRestSimulationSomeProducts	38	START	1598540233538	1598540233538
USER	AggRestSimulationSomeProducts	39	START	1598540233559	1598540233559
REQUEST	24		requestAggregation_some_products	1598540233259	1598540233565	OK	 
USER	AggRestSimulationSomeProducts	40	START	1598540233580	1598540233580
